date,close,open,high,low,volume,•Ï‰»—¦ %
2017/4/30,10.57,10.92,11.24,9.9,,-2.31%
2017/4/23,10.82,11.56,12.01,10.22,,-26.04%
2017/4/16,14.63,16.19,16.28,13.46,,-8.33%
2017/4/9,15.96,13.24,16.22,12.94,,24.01%
2017/4/2,12.87,12.59,13.59,10.9,,4.04%
2017/3/26,12.37,14.78,15.11,11.03,,-4.55%
2017/3/19,12.96,11.71,14.16,10.92,,14.89%
2017/3/12,11.28,12.16,12.54,10.6,,-3.26%
2017/3/5,11.66,11.59,12.43,11.04,,6.39%
2017/2/26,10.96,11.78,12.96,10.94,,-4.45%
2017/2/19,11.47,12.05,12.59,11.34,,-0.17%
2017/2/12,11.49,11.36,12.86,10.73,,5.90%
2017/2/5,10.85,11.37,11.84,10.55,,-1.09%
2017/1/29,10.97,11.1,12.99,9.97,,3.69%
2017/1/22,10.58,12.3,12.62,10.3,,-8.32%
2017/1/15,11.54,12.2,13.28,11.53,,2.76%
2017/1/8,11.23,11.71,12.6,10.94,,-0.80%
2017/1/1,11.32,14.07,14.07,10.98,,-19.37%
2016/12/25,14.04,12.26,14.68,11.84,,22.73%
2016/12/18,11.44,12.5,12.52,10.93,,-6.23%
2016/12/11,12.2,12.23,13.42,12.07,,3.83%
2016/12/4,11.75,13.75,13.77,11.3,,-16.78%
2016/11/27,14.12,13.4,14.72,12.23,,14.42%
2016/11/20,12.34,13.27,13.44,12.16,,-3.97%
2016/11/13,12.85,14.69,15.56,12.85,,-9.32%
2016/11/6,14.17,19.78,21.48,13.26,,-37.05%
2016/10/30,22.51,16.31,23.01,16.25,,39.04%
2016/10/23,16.19,13.19,17.35,12.73,,21.36%
2016/10/16,13.34,17.01,17.11,13.27,,-17.25%
2016/10/9,16.12,14.19,17.95,13.29,,19.58%
2016/10/2,13.48,13.75,14.57,12.21,,1.43%
2016/9/25,13.29,13.26,15.69,12.14,,8.14%
2016/9/18,12.29,15.14,16.09,11.76,,-20.04%
2016/9/11,15.37,20.13,20.51,14.76,,-12.17%
2016/9/4,17.5,12.42,17.54,11.65,,46.08%
2016/8/28,11.98,14.09,14.61,11.9,,-12.23%
2016/8/21,13.65,12.53,14.93,11.72,,20.37%
2016/8/14,11.34,11.81,13.71,11.33,,-1.82%
2016/8/7,11.55,11.66,12.5,11.02,,1.40%
2016/7/31,11.39,11.89,14.24,11.18,,-4.04%
2016/7/24,11.87,12.64,13.74,11.77,,-1.25%
2016/7/17,12.02,12.75,13.12,11.4,,-5.13%
2016/7/10,12.67,13.25,13.93,12.14,,-4.02%
2016/7/3,13.2,16.05,17.04,13.19,,-10.63%
2016/6/26,14.77,24.38,26.72,14.61,,-42.66%
2016/6/19,25.76,17.42,26.24,16.59,,32.72%
2016/6/12,19.41,18.24,22.89,17.89,,13.98%
2016/6/5,17.03,13.84,17.33,12.72,,26.43%
2016/5/29,13.47,13.94,15.25,12.9,,2.67%
2016/5/22,13.12,16.33,16.47,13.04,,-13.68%
2016/5/15,15.2,15.72,17.65,14.28,,1.06%
2016/5/8,15.04,15.2,15.47,13.29,,2.17%
2016/5/1,14.72,16.33,16.85,14.48,,-6.24%
2016/4/24,15.7,14.07,17.09,13.3,,18.76%
2016/4/17,13.22,14.87,14.94,12.5,,-2.94%
2016/4/10,13.62,15.34,16.57,13.38,,-11.33%
2016/4/3,15.36,13.88,16.77,13.66,,17.25%
2016/3/27,13.1,15.65,16.04,13,,-11.13%
2016/3/20,14.74,14.57,16.44,13.75,,5.14%
2016/3/13,14.02,17.01,17.85,13.75,,-15.03%
2016/3/6,16.5,17.98,19.59,16.28,,-2.14%
2016/2/28,16.86,20.49,20.81,16.05,,-14.89%
